WARNING:root:modisC1R1_244_01-Sep-2017 at (col, row): (1, 9) exported with final state: COMPLETED
WARNING:root:modisC1R1_241_29-Aug-2017 at (col, row): (1, 10) exported with final state: COMPLETED
WARNING:root:modisC1R1_248_05-Sep-2017 at (col, row): (1, 11) exported with final state: COMPLETED
WARNING:root:modisC1R2_327_23-Nov-2017 at (col, row): (1, 12) exported with final state: COMPLETED
WARNING:root:modisC1R2_321_17-Nov-2017 at (col, row): (1, 13) exported with final state: COMPLETED
WARNING:root:modisC1R2_328_24-Nov-2017 at (col, row): (1, 14) exported with final state: COMPLETED
WARNING:root:modisC1R2_244_01-Sep-2017 at (col, row): (1, 15) exported with final state: COMPLETED
WARNING:root:modisC1R2_241_29-Aug-2017 at (col, row): (1, 16) exported with final state: COMPLETED
WARNING:root:modisC1R2_248_05-Sep-2017 at (col, row): (1, 17) exported with final state: COMPLETED
WARNING:root:modisC2R0_327_23-Nov-2017 at (col, row): (2, 0) exported with final state: COMPLETED
WARNING:root:modisC2R0_312_08-Nov-2017 at (col, row): (2, 1) exported with final state: COMPLETED
WARNING:root:modisC2R0_328_24-Nov-2017 at (col, row): (2, 2) exported with final state: COMPLETED
WARNING:root:modisC2R0_244_01-Sep-2017 at (col, row): (2, 3) exported with final state: COMPLETED
WARNING:root:modisC2R0_241_29-Aug-2017 at (col, row): (2, 4) exported with final state: COMPLETED
WARNING:root:modisC2R0_248_05-Sep-2017 at (col, row): (2, 5) exported with final state: COMPLETED
WARNING:root:modisC2R1_327_23-Nov-2017 at (col, row): (2, 6) exported with final state: COMPLETED
WARNING:root:modisC2R1_321_17-Nov-2017 at (col, row): (2, 7) exported with final state: COMPLETED
WARNING:root:modisC2R1_328_24-Nov-2017 at (col, row): (2, 8) exported with final state: COMPLETED
WARNING:root:modisC2R1_244_01-Sep-2017 at (col, row): (2, 9) exported with final state: COMPLETED
WARNING:root:modisC2R1_241_29-Aug-2017 at (col, row): (2, 10) exported with final state: COMPLETED
WARNING:root:modisC2R1_248_05-Sep-2017 at (col, row): (2, 11) exported with final state: COMPLETED
WARNING:root:modisC2R2_327_23-Nov-2017 at (col, row): (2, 12) exported with final state: COMPLETED
WARNING:root:modisC2R2_321_17-Nov-2017 at (col, row): (2, 13) exported with final state: COMPLETED
WARNING:root:modisC2R2_328_24-Nov-2017 at (col, row): (2, 14) exported with final state: COMPLETED
WARNING:root:modisC2R2_244_01-Sep-2017 at (col, row): (2, 15) exported with final state: COMPLETED
